driver_id,driver_name,depot_code,licence_code,hired_date
DRV-401,Andile Maseko,KES-JHB,C1,2021-03-30
DRV-402,Andile Mahlangu,KES-JHB,C,2024-02-12
DRV-403,Mpho Malan,KES-JHB,EC,2018-07-03
DRV-404,Ashwin Molefe,KES-JHB,EC,2019-09-05
DRV-405,Sizwe Malan,KES-JHB,C1,2019-06-24
DRV-406,Sizwe Van Wyk,KES-JHB,EC,2021-07-13
DRV-407,Lucky Ndlovu,KES-JHB,EC,2021-09-07
DRV-408,Ashwin Dlamini,KES-JHB,C1,2021-04-24
DRV-409,Sipho Botha,KES-JHB,EC,2017-08-29
DRV-410,Johan Molefe,KES-JHB,C,2020-01-05
DRV-411,Riaan Mahlangu,KES-JHB,EC,2023-07-22
DRV-412,Johan Sithole,KES-JHB,EC,2022-06-11
DRV-413,Pieter Pillay,KES-JHB,EC,2020-05-11
DRV-414,Lucky Botha,KES-JHB,C1,2024-02-29
DRV-415,Sizwe Naidoo,KES-JHB,EC,2023-07-20
DRV-416,Sipho Naidoo,KES-JHB,EC,2019-12-27
DRV-417,Lungile Zwane,KES-JHB,C1,2020-01-01
DRV-418,Sipho Maseko,KES-JHB,C,2017-07-18
DRV-419,Thabo Sithole,KES-JHB,EC,2019-12-24
DRV-420,Shaun Ndlovu,KES-JHB,EC,2024-06-11
DRV-421,Ashwin Sithole,KES-JHB,C1,2022-08-10
DRV-422,Sipho Mokoena,KES-JHB,EC,2024-01-01
DRV-423,Nkosi Botha,KES-JHB,C1,2019-03-29
DRV-424,Tebogo Ndlovu,KES-JHB,EC,2023-02-24
DRV-425,Riaan Mthembu,KES-JHB,EC,2023-08-03
DRV-426,Lucky Maseko,KES-JHB,EC,2022-07-25
DRV-427,Ashwin Adams,KES-JHB,C,2020-07-18
DRV-428,Pieter Zwane,KES-JHB,C1,2023-01-31
DRV-429,Ashwin Molefe,KES-JHB,EC,2023-09-27
DRV-430,Andile Dlamini,KES-JHB,C1,2022-03-26
DRV-431,Johan Naidoo,KES-JHB,EC,2021-01-01
DRV-432,Sipho Sithole,KES-JHB,EC,2016-10-10
DRV-433,Kagiso Mthembu,KES-JHB,EC,2019-10-07
DRV-434,Pieter Mokoena,KES-JHB,C,2021-11-07
DRV-435,Tebogo Van Wyk,KES-JHB,EC,2018-05-23
DRV-436,Tebogo Molefe,KES-JHB,EC,2020-06-05
DRV-437,Ashwin Pillay,KES-JHB,C,2020-11-06
DRV-438,Thabo Zwane,KES-JHB,EC,2017-08-25
DRV-439,Bongani Pillay,KES-JHB,C,2019-03-03
DRV-440,Dumisani Pillay,KES-JHB,EC,2023-08-08
DRV-441,Lucky Fourie,KES-JHB,EC,2023-07-02
DRV-442,Lungile Naidoo,KES-JHB,C1,2017-08-13
DRV-443,Sipho Pillay,KES-JHB,EC,2020-08-21
DRV-444,Johan Ndlovu,KES-JHB,EC,2024-05-13
DRV-445,Tebogo Maseko,KES-JHB,EC,2020-09-06
DRV-446,Johan Van Wyk,KES-JHB,C,2017-01-02
DRV-447,Themba Mokoena,KES-JHB,C,2019-06-20
DRV-448,Kagiso Molefe,KES-JHB,EC,2019-12-20
DRV-449,Dumisani Pillay,KES-JHB,C1,2019-04-08
DRV-450,Mpho Malan,KES-JHB,C,2019-10-29
DRV-451,Lucky Mthembu,KES-JHB,C,2018-09-05
DRV-452,Lucky Malan,KES-JHB,EC,2023-05-23
DRV-453,Kagiso Zwane,KES-DBN,C1,2019-02-14
DRV-454,Andile Molefe,KES-DBN,EC,2017-05-24
DRV-455,Johan Adams,KES-DBN,EC,2024-02-13
DRV-456,Rajesh Van Wyk,KES-DBN,EC,2018-04-18
DRV-457,Tebogo Botha,KES-DBN,C,2021-08-10
DRV-458,Andile Jacobs,KES-DBN,EC,2021-02-24
DRV-459,Sizwe Malan,KES-DBN,EC,2016-10-10
DRV-460,Rajesh Sithole,KES-DBN,EC,2021-11-27
DRV-461,Ashwin Dlamini,KES-DBN,EC,2019-08-14
DRV-462,Bongani Botha,KES-DBN,EC,2024-06-22
