agent_id,agent_name,branch_code,hired_date
AG-601,Fatima Maseko,SF-JHB,2022-05-26
AG-602,Bongani Ndlovu,SF-JHB,2018-04-22
AG-603,Lindiwe Khumalo,SF-JHB,2021-02-26
AG-604,Anita Malan,SF-JHB,2020-01-22
AG-605,Palesa Jacobs,SF-JHB,2024-07-17
AG-606,Lindiwe Mthembu,SF-JHB,2018-01-19
AG-607,Lerato Ndlovu,SF-JHB,2018-08-31
AG-608,Kagiso Mokoena,SF-JHB,2023-07-22
AG-609,Palesa Jacobs,SF-JHB,2019-08-31
AG-610,Nomsa Mthembu,SF-JHB,2023-01-07
AG-611,Zanele Nkosi,SF-JHB,2023-12-16
AG-612,Sipho Mahlangu,SF-PTA,2022-12-14
AG-613,Refilwe Jacobs,SF-PTA,2020-05-09
AG-614,Bongani Sithole,SF-PTA,2020-12-21
AG-615,Sizwe Maseko,SF-PTA,2022-11-08
AG-616,Dineo Fourie,SF-PTA,2017-08-06
AG-617,Andile Botha,SF-PTA,2024-03-04
AG-618,Anita Dlamini,SF-PTA,2018-10-13
AG-619,Refilwe Dlamini,SF-PTA,2018-09-21
AG-620,Yusuf Jacobs,SF-PTA,2022-11-09
AG-621,Johan Van Wyk,SF-DBN,2022-05-26
AG-622,Dineo Fourie,SF-DBN,2019-04-07
AG-623,Refilwe Jacobs,SF-DBN,2019-03-31
AG-624,Refilwe Zwane,SF-DBN,2020-02-08
AG-625,Kagiso Adams,SF-DBN,2017-09-30
AG-626,Thabo Zwane,SF-DBN,2023-05-22
AG-627,Yusuf Govender,SF-DBN,2020-10-08
AG-628,Thabo Naidoo,SF-DBN,2020-01-14
AG-629,Andile Khumalo,SF-DBN,2022-11-09
AG-630,Nomsa Van Wyk,SF-PMB,2024-04-07
AG-631,Bongani Maseko,SF-PMB,2023-05-12
AG-632,Fatima Pillay,SF-PMB,2022-10-02
AG-633,Yusuf Zwane,SF-PMB,2021-04-16
AG-634,Lerato Ndlovu,SF-PMB,2020-06-11
AG-635,Fatima Fourie,SF-CPT,2021-08-12
AG-636,Bongani Khumalo,SF-CPT,2018-04-04
AG-637,Bongani Fourie,SF-CPT,2019-05-12
AG-638,Mpho Maseko,SF-CPT,2020-07-06
AG-639,Kagiso Botha,SF-CPT,2023-04-09
AG-640,Nomsa Molefe,SF-CPT,2021-08-07
AG-641,Kagiso Ndlovu,SF-CPT,2024-07-11
AG-642,Lerato Pillay,SF-CPT,2019-09-30
AG-643,Nomsa Jacobs,SF-GQE,2017-12-18
AG-644,Bongani Botha,SF-GQE,2023-06-03
AG-645,Lerato Dlamini,SF-GQE,2020-05-23
AG-646,Kagiso Botha,SF-GQE,2020-05-16
AG-647,Naledi Jacobs,SF-GQE,2019-04-21
AG-648,Lerato Pillay,SF-GQE,2024-06-30
AG-649,Kagiso Botha,SF-BFN,2018-03-03
AG-650,Dineo Mahlangu,SF-BFN,2021-06-19
AG-651,Refilwe Van Wyk,SF-BFN,2022-10-22
AG-652,Tebogo Adams,SF-BFN,2017-11-05
AG-653,Naledi Mokoena,SF-BFN,2022-06-24
AG-654,Fatima Botha,SF-PLK,2023-07-01
AG-655,Dineo Ndlovu,SF-PLK,2020-09-17
AG-656,Bongani Jacobs,SF-PLK,2021-01-01
AG-657,Thabo Ndlovu,SF-PLK,2019-02-03
AG-658,Sipho Van Wyk,SF-PLK,2024-03-19
AG-659,Refilwe Zwane,SF-MAH,2019-04-09
AG-660,Palesa Van Wyk,SF-MAH,2019-06-14
AG-661,Anita Dlamini,SF-MAH,2021-03-25
AG-662,Fatima Pillay,SF-MAH,2022-02-06
